,businessId,id,label
0,1,0,MASKS REQUIRED
1,1,1,6 FT APART
2,1,2,OUTDOOR DINING
3,1,3,INDOOR DINING
4,1,4,CURBSIDE PICKUP
5,1,5,ADEQUATE SUPPLIES
6,2,6,OUTDOOR DINING
7,2,7,CURBSIDE PICKUP
8,2,8,DISINFECTION
9,2,9,LOW DENSITY
10,3,10,MASKS REQUIRED
11,3,11,INDOOR DINING
12,3,12,DISINFECTION
13,3,13,TRAINED WORKERS
14,3,14,LOW DENSITY
15,4,15,MASKS REQUIRED
16,4,16,OUTDOOR DINING
17,4,17,INDOOR DINING
18,4,18,CURBSIDE PICKUP
19,4,19,DISINFECTION
20,4,20,TRAINED WORKERS
21,4,21,LOW DENSITY
22,5,22,6 FT APART
23,5,23,OUTDOOR DINING
24,6,24,MASKS REQUIRED
25,6,25,6 FT APART
26,6,26,INDOOR DINING
27,6,27,CURBSIDE PICKUP
28,6,28,DISINFECTION
29,6,29,TRAINED WORKERS
30,6,30,ADEQUATE SUPPLIES
31,7,31,OUTDOOR DINING
32,7,32,CURBSIDE PICKUP
33,7,33,ADEQUATE SUPPLIES
34,8,34,6 FT APART
35,8,35,OUTDOOR DINING
36,8,36,CURBSIDE PICKUP
37,8,37,DISINFECTION
38,8,38,LOW DENSITY
39,9,39,6 FT APART
40,9,40,OUTDOOR DINING
41,9,41,INDOOR DINING
42,9,42,CURBSIDE PICKUP
43,9,43,TRAINED WORKERS
44,10,44,MASKS REQUIRED
45,10,45,6 FT APART
46,10,46,ADEQUATE SUPPLIES
47,11,47,MASKS REQUIRED
48,11,48,OUTDOOR DINING
49,11,49,CURBSIDE PICKUP
50,11,50,TRAINED WORKERS
51,11,51,ADEQUATE SUPPLIES
52,12,52,MASKS REQUIRED
53,12,53,INDOOR DINING
54,12,54,CURBSIDE PICKUP
55,12,55,DISINFECTION
56,12,56,LOW DENSITY
57,13,57,MASKS REQUIRED
58,13,58,OUTDOOR DINING
59,13,59,DISINFECTION
60,13,60,TRAINED WORKERS
61,13,61,ADEQUATE SUPPLIES
62,14,62,MASKS REQUIRED
63,14,63,6 FT APART
64,14,64,CURBSIDE PICKUP
65,14,65,TRAINED WORKERS
66,14,66,LOW DENSITY
67,14,67,ADEQUATE SUPPLIES
68,15,68,MASKS REQUIRED
69,15,69,OUTDOOR DINING
